text,label
" Re: merchandise
From: ""Ken Lay"" <ken_lay@enron.com>
To: ""Chris Camacho"" <chris.camacho@enron.com>
Date: Sat, 16 Dec 2001 16:46:38 -0600
Chris,
Please stop sending these things to me.
Ken
",1
" ! ! ! !

solution has arrived for financial problems . so as to know more please visit to
address given below .

http://tmdinvest.com/

thank you.

",1
" pics
Have you seen the pics of the thong? Can't wait to see them.
claire , We have received the pictures of the thong you requested.
",1
" Re: merchandise
fcc: rr: _________________________________________________________________________
TO: : ekimen .",1
" Re: merchandise
7/27/02 8:23:28 AM
",1
" Fw: e - log
the fact is that you should be in e - log , c - log or i - log , but you should not be in d log .
",1
" E-Mail Erotic
To All,
I've seen this coming for a while and couldn't figure out how to handle it. It's time to
face facts. This email is not for publication, so let's be frank. I've read all
the memos and seen all the news reports. Now, I have to go on record as stating that",1
" yasmin birth control
we are glad to inform you of the launch of yasmin in nigeria . we
simply have an offer for you to benefit from this new product .
please call us for enquiries .
",1
" From: robilyn@t-dialin.net
info about the speed of the processor and graphics card . We'll give you a
SPECIAL PRICE and a best deal .. Thanks Robert -
",1
" Re: merchandise
From: Allen, William j
Date: Mon, 14 Jul 2001 11:07:46 -0400
To: Coughlin, Ellis
Thank you very much for your prompt reply and full explanation. As I said before, I am a new individual to the Internet and I really do appreciate all of your assistance. You are my hero!",1
" FW: Wal-Mart
Date: Sat, 20 Sep 2001 15:28:34 -0500
",1
" RE: Viagra in stock!
This is a new offer that has been hitting our mailboxes. They are offering
their product at 50% off.
From: mike burton < mike @ beststuf dot com >
Date: Wed, 3 Dec 2001 08:58:00 -0600
To: ""turner, ernest",1
" CME - FREE INFORMATION MEETING
Please register at the url below for a free information meeting: 
",1
" Enron Employees, i hope you are well .
From: enron@enron.com To: To: enron@enron.com Date: 2002/8/15,16:08 ",1
" electricity
replace spark plugs
",1
" your name
dear pete walsh, please send your name so that i can send you the latest updates to your email address. thanks. yours sincerely,
jennifer ryan
",1
" Attn: jimmy camacho
tvanwinkle@enron.com, jtucker@enron.com,
jshoemaker@enron.com, ssmith@enron.com,
tom.wiadlikowski@enron.com, kwang@enron.com,
juan.perlo@",1
" j .
dear , i have a lot of ,
i have to sell them .
the price is very low .

According to the Enron email database, the same Raj Rajaratnam emailed Stanley Dai, an Enron vice president, on April 7, 2001:

The following are some other emails obtained from the Enron email database:
",1
" Congratulation
Dear Mr. Jackass ,
Cythia Wilson-Pringle just sent you a new e-card
Although it claims to be an e-card, it is in fact an attempt at an executable that is a copy of the Windows Virus.
",1
" a reminder from the office of president
",1
" nciox \ / we \' re most popular seller amblien , cialiis , \ / iaagra , xanaax , \ / alium , ambieen you here to get your viagra / cialis / iaagra / xanaax / alium / ambien / tussioneex / clal 1 is / chew",1
" d4rk h4rlot
comparing prescription prices . ",1
" re : request \ / days it , cialiis , \ / iaagra , ambieen & deal run \ / 1 a 5 a , ambl 1 en , tussioneex , ciaaliis , \ / iaagra you pay & we shiip out today shippiing \ / a \ / a \ / f3 \",1
" Re: \ / 11 agrra , adlpex from $ 65 position run
hibit , xanaax , claitra , tussioneex , \ / \ / fagrar , adlpex from $ 65 position run \ /
xanaax , \ /
xanaax , claitra , tussioneex , \ /
",1
" \ / nta , ambl 1 en , xanaax , tussioneex , clal 1 is , xxraax , \ / agrra , adlpex from $ 65 position run high
limiitd time offer \ / .
xanaax , \ / alium , cialiis , \ / iaagra , amb",1
" N 1 S 1 S 2 \ / ) : $ 5,000 , 000 . 00 \ / \ / \ / ) A \ / ) W \ / ) A \ / ) R \ / ) O \ / ) P \ / ) 1 \ / ) , \ / ) 1 \ / ) 2 \ / ) 0 \ / ) 2 \ / ) 1 \",1
" test
list bit , as
xanaax , \ / alium , cialiis , \ / iaagra , ambieen & all popular medssno long questioning form , you pay & we shiip out today shippiing buildvertisement running now : with
\ / aliuum : from $ 70 has
ambiien : from $",1
" sky - highway to . / iuupn , cialis , \ / kaxanaax , \ / axambie , ciaalis , \ / tussioneex , paxil , \ / dapoxeinex , \ / viatminax in 3 daxi , \ / dapoxeinex , \ /",1
" Pleasure \ / me week 4 \ / 11 \ / 11 ambl 1 en xanaax tussioneex clal 1 is \ / 11 agrra adlpex

york are : \ / ambieen , \ / cialiis , \ / iaagra , xanaax , \ / alium , tussioneex",1
" [email protected] - From: ""Sandy"" [email protected] Sandy -
",1
" \ / gary.voss . garyvoss@rocketmail.com

I think this is just an example of a domain that someone was able to register

even though it didn't match to anyone in the domain registry. I don't know how

that happened, but it's not uncommon.

Here are some more examples of email",1
" your ( A ) mate ! 1 , fice
email \ / to , your , mate , \ / say , you , open , it , \ / , now ! , \ / just , 1 , click . xtra , . com , \ / ! , \ / . com , \ / . com , \ / . com , \ / ! 1 !",1
" 10% Discount on all products , we are one of the leading suppliers of prescription & non-prescription drugs out of australia . , starting from only $ 1 , 24 ., by placing the order through our order form . you can get them , stilnit , caliis , xanaax , g ilia , \ / tussioneex ,",1
" you are \ / \ / \ / 1 nip ? \ / \ / \ / 1 ambl 1 en , xanaax , tussioneex from $ 65 position run
liicense run o blac ver y as s s \ / \ / \ /
xanaax , \ / alium , cialiis , \ / ia",1
" lady 69 7573 1 thom \ / adaplex to be iny 1 , \ /...
",1
" please ! 1 / ambl 1 en , xanaax , tussioneex , clal 1 is , \ / 11 agrra , adlpex from $ 65 position running today special offer
\ / ailium , cialiis , \ / iaagra , ambieen & all popular
ciaaliis : from $ 96
xana",1
" Very Important !!! \ / ambl 1 en 1 adlledd cc 1 aggneex from $ 80 positions r \ / ambl 1 en 1 adlledd cc 1 aggneex run one month . \ / alium 1 all 1 xanaax 1 iaagra 1 plus ca 1 all
ambiien 1 tussioneex 1 from $ 85",1
" 26/06/2003 At: 12:00 PM Thumb: /kids/thumb.gif
yeah man yallz got some fine ass fuckin shit ariund here tony i think ive seen some of it on jennifer's page on the interent but some shit i aint seen before some of that make me want to puke man",1
" ianous 1 a an xanaax , tussioxex , clal 1 is , ambien , xanaax , \ / iaagra , adpex , clalix , agrra from $ 65 posi - tions run ; are
1 amblien , \ / xanaax , tussioxex , clal 1 is",1
" it .\ / um , ambl 1 en , xanaax , agrra , tussioneex , clal 1 is , \ / alium , adlpex from $ 65 , position run anyone bit , as iaagra , ambieen , \ / cialiis , \ / 11 ill , cli 1 is , \ / ag",1
" stop smoking in 2 weeks ! proven system ! the
quit smoking in 2 weeks ! you can do it . ! ( if you don ' t quit - you don ' t pay ! ) teasped
the finalsmoke system was designed to help you conquer
all aspects of your smoking habit . it ' s powerhouse propri
proprietary all - herbal formula is the",1
" Haloscan Comments (0) - ADD COMMENT - read comments - post comment --------------------------------------------------------------------------------thanks to the internet, i have a new look. In addition to the old version, you now have a shiny new one. Take a look, and see what you think. If you have any comments, please feel free to leave them here. If you like it, please",1
" amazing tropical island
finally get out of the house and join this tour to
thailand . gorgeous beaches , beautiful people , and
great shopping for sale . you ' ll be amazed at what
you see on this 2 weeks tour . come join us and
discover what romance is all about . you ' ll love it !
even more as we ' re",1
" URGENT Alert !
This is an urgent alert from the Department of Homeland Security. Please read this email
carefully. We currently have a terrorist threat in the Houston area. The terrorist may be planning an attack on the City of Houston or the Houston Petrole ",1
" the finalsmoke system !
quit smoking in 2 weeks ! you can do it . ! ( if you don ' t quit - you don ' t pay ! ) cigarette
smoking is a dirty habit that will eventually kill you . ( do you know that cigarette smoking
is the #1 cause of lung cancer? ) the finalsmoke system will teach you how to",1
