text,label
" I couldn't believe I had seen this and couldn't find a second viewing. Put it up on IMDB, how's that? You should've seen it first hand. It's a total rip-off of the Mitchell Brothers' feature from 1930's time, although the story adds something new to the mix, for starters the killer is a rich man, he has a",0
" ""Rocketship X-M"" is an unmitigated disaster. Aside from some boring action scenes, the movie itself is so good that it should be skipped due to the conclusion being too uninspired to sustain a movie. Very poor MST3K film. MST3K does not deserve all the bad reviews in the industry. They should be ashamed of themselves",0
" This review is a bit long winded so hopefully you don't mind. I got ""Rocketship X-M"" out of a discussion I'd had with a friend. He thought there was too much science fiction in the movie and was absolutely not into the movie, not even the sci-fi sub-genre. The story is pretty much a Big Screen Get Up",0
" I don't know, but the movie, with a little help from Courtney Love can't really be called a great one after all. There really isn't any new ground being broken in this love story, and the only thing that makes it interesting is the voice of the man whose dead wife is played by the MST3K cast members. Ripley, Moore, and",0
" My roms do have a love-hate relationship with this film. They both love it and hate it at the same time. The remake with the same cast (which seemed to have this year's actors and director at the time) is a real page turner for those who didn't realize they had to go through the whole ""worst movie ever"" script and completely miss",0
" I think it's safe to say that every movie fan has one of these images in their mind - a UFO, a Black Knight, certain absurd looking cars, a giant flying saucer, a pre-determined, impossible situation... It would be great if there was one of those films. But there isn't, because we all have too many movies with that kind of",0
" I loved this movie, first and foremost because of the delightful performance by Ginger Rogers as the young and unstable Lyle Talbot. She even played the part with the same clenched fists and frown. It's hard to not like a performance that some say bestows the worst on a movie that has been going on since the first of the century. This movie wasn't a scandal",0
 a niggling problem. I mean this movie has a lot of potential. The only thing I can think of is a storyline involving a steam train system we could have never imagined in real life and a description of a steam railroad of sorts. Could they have also built the first steam train in the world? ,0
" I think the only reason this movie was made is because the SAG Act was passed, allowing any movie to be made by any union.<br /><br />I firmly believe the SAG Act was passed from sheer overweening greed, and all but fifteen unions refused to unionize the flick. Although this defies logic, because why would any skilled producer like to",0
" There is a lot you've heard about the MST3K versions of Star Trek: The Next Generation. For starters, it's totally ridiculous. It's a lot of fun, it's all about Star Trek and not just about Star Trek. But even if the show's not as interesting or entertaining as it should be, it's still a damn good show. And",0
