text,label
" A major disappointment compared to the first two movies in the series. ""Ghostbusters II"" is like a bad imitation of ""Ghostbusters I."" It was completely unnecessary and just plain stupid. The movie has a very slow start with a couple of sleeping sequences that add nothing to the movie except to make a brooding introduction for the movie. The comedy in this movie was not",0
" The story of a man who was an overgrown boy child and the trials and tribulations that he and his wife went through. There is a touch of the supernatural in this film, but it is truly a remarkable. I laughed, I cried, I got angry at the bad guy. I was moved to pity for the bad guy. I thought he was going to be",0
" An exceptional movie, made by people who knew how to make movies. If you want a movie that will make you cry, laugh and feel really good, watch this one. The characters are very well developed. The kids are typical kids, but you still understand why they behave the way they do. Their parents are real people, with real problems. The poor family who lives",0
" Driven by the desire to save the world, scientists and astronauts on board the spaceship Foxtrot discover the earth has been destroyed by radioactive fallout. They are forced to survive in space. <br /><br />T he finale to this series of films, <b>Rocketship XM</b> is about a rocket crew attempting to restart the human race",0
 The worst movie ever made. I rented this movie thinking it was a documentary. But it was a film. And it was the worst movie ever. The whole movie was about this woman trying to find a man. The end of the movie she finally found a man. But the end of the movie had no point to it. I didn't understand the point too this movie,0
" I know a lot of people will hate me for saying this, but this was a really good movie. I mean, it had some holes in it, but it made a point. In a time when people didn't fight for what they believed in, a woman did. And you can't say she didn't fight for it, because she was killed for it. You",0
" A young woman (Carole Lombard) is torn between a professor she loves and the man she marries, a wealthy industrialist (William Powell). ",0
" Let me set the scene for you: The action takes place in the wee hours, in an unlit steamy nightclub that looks like it was furnished from a Pakistani flea market. The patrons are a sallow bunch of slightly effeminate men who look like they're waiting to prey on the vulnerable, the sloppy, the very drunk. One patron is lying on the",0
" A young Ginger Rogers trades quick quips and one liners with rival newspaper reporter Lyle Talbot in this 1933 murder mystery from Poverty Row film maker Allied Productions. The movie opens with a wealthy businessman taking a header from the roof garden of a high rise apartment house, or was it from a lover's apartment? Rogers actually has two identities at the film's outset, that",0
" A very young Ginger Rogers trades quick quips and one liners with rival newspaper reporter Lyle Talbot in this 1933 murder mystery from Poverty Row film maker Allied Productions.<br /><br />The movie opens with a wealthy businessman taking a header from the roof garden of a high rise apartment house, or was it from a lover's apartment? Rogers actually has two identities at",0
" ""Dreamscape"" is the kind of movie that has you hoping it's not going to be as boring as it looks or seems in the first few minutes. You give it the benefit of the doubt, maybe it'll turn out to be enjoyable, albeit a little mind-numbingly slow (hey, we've got all night!). Then, your eyes start to gl",0
" like the ""s"" in ""git"" is silent, huh?<br /><br />well don't feel to bad, 'cause you're not the only one to make that mistake. anyway, this is a great movie, with incredible performances from the all-star cast. It's as hilarious as it is tragic. the story is so heart wrenching and",0
" A very young Ginger Rogers trades quick quips and one liners with rival newspaper reporter Lyle Talbot in this 1933 murder mystery from Poverty Row film maker Allied Productions. The movie opens with a wealthy businessman taking a header from the roof garden of a high rise apartment house, or was it from a lover's apartment? Rogers actually has two identities at the film's outset,",0
" ""Eight Legged Freaks"" is a light, humorous, but entertaining film that doesn't take itself too seriously and who's audience will be just as confused as the people in the movie. But the film does have an extremely original premise which is what got my attention. A meteorite lands just outside of a small town. Just minutes after the impact, the meteorite",0
 This film is probably one of the better Sword and Sandal films. The costumes and settings appear very authentic and the performances are all fairly convincing. The film's sound track is very well done and the fight scenes are all very exciting and well filmed. The film starts with a young Roman soldier named Marcus being exiled for accidentally killing a gladiator. He is sent to the Island,0
 This movie stars Robert Wagner as an arms dealer who's trying to buy weapons from the Chinese. Some military parts are stolen and the American army finds a way to fight them. ,0
" ""The Big Country"" is a strange, entertaining, and uneven western. It has wonderful characterizations, excellent photography (by William C. Mellor), and one of the greatest high noon showdowns ever filmed. Yet it also has some of the worst dialog ever written, and a ubiquitous soundtrack that can be annoying. If you can get past the dialog and that rockin",0
" Honey Honey- Mary Poppins is my Favorite Movie Ever! It has a beautiful story of a magical dancing nanny and a very sweet family. The actors were great. Julie Andrews and Dick Van Dyke, and Dick's kids. It was a very heart warming movie. And it always puts a smile on my face. You should all see it. ",0
" This is one of the best documentaries that I've ever seen. The more I watch it the more I love it. It's a documentary about a group of homeless people in Fresno, California. The movie takes a look at their daily lives and the activities they do to pass their time on the streets. It was originally made in 1986, so the film quality is not that",0
" ""Rough Night In Jericho"" is a lot like a fairground ride: thrilling when it starts, but awfully repetitive once it gathers momentum. <br /><br />This thriller is set in a small town in Texas where a man named Kurt Russel listens to a radio broadcast from a man named ""Papa Pilgrim"". Pilgrim believes that God has bestowed upon him a",0
" I guess it's possible to make a bad movie about professional boarders, but it's a lot harder than you'd think. I mean, you've got lots of opportunities for cool action shots, and the subject matter is pretty juicy; but I guess you just need some sort of shame or at least some talent to make it work. ",0
" This is a style over substance movie, which is a bummer. The screenplay is very good, and the direction is pretty solid too. But the acting is not the greatest. The story is odd, and that's part of the reasons why it's so popular. But the acting plays just doesn't quite cut it. Perhaps it comes down to seeing a movie like this",0
" What more can one say about this classic? It's a rocking, funny, slick, and cool flick, with all music being done by the band the Thelma & Louise! (They're all women, and they're awesome.) This version has a great commentary by the director and some of the cast, along with some funny outtakes. The story is simple",0
" The plot isn't bad, kinda reminiscent of The Most Dangerous Game. The scariest part is the location, a creepy dilapidated house out in the middle of the woods, but it somehow makes for a pretty good setting. William Shatner plays a psycho killer and does a very good job at it. Not as good as his performances in classic movies like The",0
" I really liked this movie! First of all, I think they did a very good job trying to show this life-changing experience so difficult for everyone. It's not easy to adapt a book like ""Mauvaise Passe"" and make it a movie! This is a journey among other journeys, they all pass by the same places, but they all take different",0
" Borderline pornographic exploitation. Not sexy, just boring. The idea of a guy plotting to get away from his wife with a young girl and her mother is not exciting. If you're into that sort of thing, you'll like this film, but from my point of view, it was horrible. ",0
" This is the WORST movie ever. It has no plot, no characters and the actors suck. Don't waste your time or your money. I wonder how good the reviews would have been if, as with most bad movies, it was an art movie. ",0
