,text,label
0, This is the kind of film I could watch for an hour and not care about anything else. This is the kind of film I could watch for two hours and not care about anything else. ,1
1," I'm not completely sure why I love film, except maybe it's because it provides a framework for all of life's great adventures. This movie, however, fails the test of time. ",1
2," I'm not one to give much of a shit about whether or not it's entertaining, but I did enjoy watching this movie. Was I surprised by the inclusion of the casting? Yes, as I expected. I liked a lot of the characters in the movie. The acting was especially good and, if I hadn't been watching it with a TV screen right next to my",1
3," If there was one answer to the question: what should a movie be, this one is it. I remember seeing it the first time, recently, and can honestly say it is one of the greatest movies of the last decade - period. The story of a man attempting to solve a giant jigsaw puzzle is told from the point of view of Walter (Michael Douglas) who",1
4," This is a classic movie of the sixties with the same style as the oscar-winning Joan of Arc(1823-1862), but it's even better and offers a little more insight into the human psyche. The Country People(1962) is the film that truly brought RCA to its peak, it was the first color film of the era and pretty",1
5," Rosemary Wilson, for the first time ever in a feature-length film, was given a chance to shine, and she did so poorly. It's a shame that she doesn't get as much work now. This premise for a movie was a stroke of genius. Ironically, this is the first film to be set in England, and it dwells on the actual events",1
6," I was in the middle of watching this (which, for the first time in my life, was an Italian-French movie) and my girlfriend turned to me and said, ""What do you think of ""L'Avventura?"" I thought to myself, ""is there anyway I can get on eBay and buy this movie?"" I was so confused because I didn't",1
7," I'd heard a lot about this movie, but never saw it in person. I give it 4 out of 5 stars. ",1
8," Everything that has happened in the world so far, the peoples' ignorance, their unthinking thought process, their tragic lack of guts, their lethargy, their impotency, their animal tendencies, their constant need to ingrain patterns of thought in their minds and bodies... all these things are presented in this movie. But somehow, the people, the people in the",1
9," I'm not usually the conspiracy nut like your audience, but when I saw this movie last weekend, I just could not stop watching it. Somehow, a few years back, I was a skeptic about the movie based on a review that I read in a magazine, and I wholeheartedly agree with it now.<br /><br />I'm not sure how it got",1
10," As in the Israeli-Palestinian conflict, things get off to a great start with the opening sequence in which two New Yorkers, a Jewish but hurtful person and a Palestinian, are being chased by a man who takes a hammer and a knife and threatens to kill them. The man tells the two standers, the man and the woman to leave him alone... all they want",1
11," Let's be honest here, here's what I liked: ""The Fox"" is a very refreshing take on the tone of 80's wannabe horror movies. It stars its biggest star of the day, Donald Pleasence, and their regular cast, the most annoying of all, Dean Norris. It does this by introducing us to a couple of new characters (Hal",1
12," My mantra here is to keep these lists simple. I think it's safe to say that this would be a must-see. All I can say is that it's a little silly when you think about it... But it's not dumb, really. It's just silly. ",1
13," Well I'm a bit amazed of how the movie seems to have out done itself with this special edition DVD version. Every time I think I have seen it, I haven't, and am in fact more than a bit saddened by that. It's a shame because the BD (home video) may not be as good as the real thing, and I'm not sure my",1
14, Ew! It reminded me of Malcom X! And I loved it. Vincent Price is amazing. ,1
15," I certainly didn't lose any sleep over that one. A (definitely not realistic) story of a man who kills his wife and then has a bizarre affair with her best friend, who turns out to be a top-secret spy. I don't think any of these names are in the movie, but I felt compelled to mention them because I'm a fan of John",1
16," If you can't handle the sheer ridiculousness of the film ""La Reine, la Reine,"" you could stand to take a Breathalyzer test. It's absolutely awesome! DO NOT MISS THIS FILM! ",1
