text,label
 This is the kind of film I could watch for an hour and not care about anything else. This is the kind of film I could watch for two hours and not care about anything else. ,1
" I'm not completely sure why I love film, except maybe it's because it provides a framework for all of life's great adventures. This movie, however, fails the test of time. ",1
" I'm not one to give much of a shit about whether or not it's entertaining, but I did enjoy watching this movie. Was I surprised by the inclusion of the casting? Yes, as I expected. I liked a lot of the characters in the movie. The acting was especially good and, if I hadn't been watching it with a TV screen right next to my",1
" If there was one answer to the question: what should a movie be, this one is it. I remember seeing it the first time, recently, and can honestly say it is one of the greatest movies of the last decade - period. The story of a man attempting to solve a giant jigsaw puzzle is told from the point of view of Walter (Michael Douglas) who",1
" This is a classic movie of the sixties with the same style as the oscar-winning Joan of Arc(1823-1862), but it's even better and offers a little more insight into the human psyche. The Country People(1962) is the film that truly brought RCA to its peak, it was the first color film of the era and pretty",1
" Rosemary Wilson, for the first time ever in a feature-length film, was given a chance to shine, and she did so poorly. It's a shame that she doesn't get as much work now. This premise for a movie was a stroke of genius. Ironically, this is the first film to be set in England, and it dwells on the actual events",1
" I was in the middle of watching this (which, for the first time in my life, was an Italian-French movie) and my girlfriend turned to me and said, ""What do you think of ""L'Avventura?"" I thought to myself, ""is there anyway I can get on eBay and buy this movie?"" I was so confused because I didn't",1
" I'd heard a lot about this movie, but never saw it in person. I give it 4 out of 5 stars. ",1
" Everything that has happened in the world so far, the peoples' ignorance, their unthinking thought process, their tragic lack of guts, their lethargy, their impotency, their animal tendencies, their constant need to ingrain patterns of thought in their minds and bodies... all these things are presented in this movie. But somehow, the people, the people in the",1
" I'm not usually the conspiracy nut like your audience, but when I saw this movie last weekend, I just could not stop watching it. Somehow, a few years back, I was a skeptic about the movie based on a review that I read in a magazine, and I wholeheartedly agree with it now.<br /><br />I'm not sure how it got",1
" As in the Israeli-Palestinian conflict, things get off to a great start with the opening sequence in which two New Yorkers, a Jewish but hurtful person and a Palestinian, are being chased by a man who takes a hammer and a knife and threatens to kill them. The man tells the two standers, the man and the woman to leave him alone... all they want",1
" Let's be honest here, here's what I liked: ""The Fox"" is a very refreshing take on the tone of 80's wannabe horror movies. It stars its biggest star of the day, Donald Pleasence, and their regular cast, the most annoying of all, Dean Norris. It does this by introducing us to a couple of new characters (Hal",1
" My mantra here is to keep these lists simple. I think it's safe to say that this would be a must-see. All I can say is that it's a little silly when you think about it... But it's not dumb, really. It's just silly. ",1
" Well I'm a bit amazed of how the movie seems to have out done itself with this special edition DVD version. Every time I think I have seen it, I haven't, and am in fact more than a bit saddened by that. It's a shame because the BD (home video) may not be as good as the real thing, and I'm not sure my",1
 Ew! It reminded me of Malcom X! And I loved it. Vincent Price is amazing. ,1
" I certainly didn't lose any sleep over that one. A (definitely not realistic) story of a man who kills his wife and then has a bizarre affair with her best friend, who turns out to be a top-secret spy. I don't think any of these names are in the movie, but I felt compelled to mention them because I'm a fan of John",1
" If you can't handle the sheer ridiculousness of the film ""La Reine, la Reine,"" you could stand to take a Breathalyzer test. It's absolutely awesome! DO NOT MISS THIS FILM! ",1
" As opposed to the drama of Young Lions of the American West or Gentlemen of the Road, this doc is really about the town of Conchos, where a number of the campers have to be rescued from the Mexican soldiers. I was skeptical of the movie when I first read the description, but it was not until I watched the film that I started to see what",1
" I find myself returning to this movie from time to time because of the humor and the story. It makes for a good time until a runny nose and a dirty shirt. You can't help but laugh the whole time you're watching the film. As for the music and the voice-over, it's just perfect. I've listened to a song somewhere sometime and it",1
" I've long been a fan of the 'Red Skelton' series, and I can tell you for the first time that this is exactly the kind of film I would recommend. The bizarre and hilarious one-man show of a film director who plays a television personality who inherits a bunch of show-biz traumas is a classic; it just gives the director",1
" I was never a huge fan of this kind of movie, but a few years ago I saw it and had to once again go out of my comfort zone. But I think it's an interesting story that's worth watching... The story is recited from the point of view of four explorers who find a strange cave in Peru which contains a dead baby. They set off with",1
" This movie is a compilation of David Boreanaz, John Diesms, and Michael Cera as part of the ""50 Greatest Movie Makers of All Time"" list. Considering the makers of this movie were the brains behind the first two John Hughes movies (Life of Brian, Beat Bugs, etc.), I found most of it to be excellent. It even seems like",1
" Tammy has a nice sofa tucked in the corner of her bedroom, waiting for the arrival of her boyfriend, Ted, who is apparently away on business.<br /><br />Where to start? Well, start with the premise: a woman is awoken from a nightmare by the voice of her deceased husband. In the dream, he is talking about his children, his wife,",1
" With the exception of the film's title, this scene and this action scene are the only things I really want to talk about in this review... for the most part. The other two scenes are highlights of the movie. ",1
" I remember seeing this movie when it first came out in the States back in 1967, and I thought: This is the kind of movie that I'd actually like to see in my lifetime. I still think that way today on the DVD release, although I really can't imagine rewatching it in its entirety. It's a tale of two young adults from two dysfunctional families who",1
" Was this a bad movie? I don't remember seeing it, but then again I haven't seen in a little while<br /><br />Boy meets girl and then girl dies and boy decides to find out why. I liked this movie, and I think it goes that way too... ",1
" What's not to like about this film? One of my favorite characters of all time, a rugged, smooth-spoken, young man subjected to a series of eight brutal dates (the most brutal of all the dates is the final date) by a forbidding, pompous dark lord, is also the one who became the personification of the word ""repressive""? So",1
 I started watching this movie knowing nothing about it and now I have seen it a couple of times and still think it's a real gem. Why the hell is this movie so hard to find? It's only in the theater. ,1
" This film is a lot of fun, and incredibly well done. It's the kind of movie where you want to see the movie at least once in your life. It's also a movie for people who don't know a lot about cinema. This is a movie for people who know a lot about cinema and want to see it again. I recommend it to everyone.",1
" Episode 1 had a very interesting premise: a small, sexy woman called Daisy (Mae Whitman), on a commercial ship, is kidnapped and held captive inside an island resort. Everything is fine until Daisy's most ardent admirer, Jerry_top (Billy Burke), is allowed to visit the island for the first time. Like the rest of the cast on his visit, he",1
 I have seen this movie and even though I kind of knew who the killer was from the beginning I still liked watching it. I would recommend it to other people. It comes on Lifetime movie network quite a lot. And I am thinking since it's close to Halloween they might play it more. So please be on the look out for it if you are interested in watching it,1
" This movie is not just good at being butch and hairy, but also pretty much kinky. It has the look of a masterpiece and the sex is always great - satisfying and still hot! ",1
 I have seen this movie and even though I kind of knew who the killer was from the beginning I still liked watching it. I would recommend it to other people. It comes on Lifetime movie network quite a lot. And I am thinking since it's close to Halloween they might play it more. So please be on the look out for it if you are interested in watching it,1
" This is a well-conceived and well-written piece of American tragedy, and I'm all for seeing it. I think it does justice to the subject matter, and to the actors who play the leads - both of whom are excellent. It may not be the greatest film ever made, but it's definitely on my list of the best. ",1
" If I had to choose one movie from the past seven years to comment on this year, it would be this one. This was a great, fun movie, just like the one I went to see at the library. I don't think I would've enjoyed it much if I hadn't been there to see it, but that's what I wanted to see. The whole",1
" This was my first time watching this movie. I saw it quite a few times as part of my summer idea watching theme, and I think it has a very good message about human nature. The ultimate idea behind the movie is a very different one, and the message is a very different one, but both are very well-done. The film starts with a murder and then",1
" I haven't seen the movie in a long time. So this is the first time I've seen it. For a while my nephew and niece are watching it with me... They must have already seen it at least a dozen times... This movie is so good it brings tears in my eyes either because of the emotion of the story, or the music and sounds. I think",1
" I was aware that The Lord of the Rings was the fargothe movie of Tolkien, but I didn't realize that it was all about it. This movie is amazing! The acting is spectacular, the directing is superb, and the movie is very well written. The only thing that's missing is the sense of wonder that keeps coming for me almost every time I watch this",1
" In a world in which cinema is becoming more and more commercialized, this film's lack of substance surprised me. It's not a perfect movie, but then DEFINITELY not a perfect film. ",1
" I must make this clear: I haven't seen this film in years. I have only recently started to revisit it (I am a rather casual moviegoer, more concerned with finding the right movie to see than giving the right rating). I am so glad I did! This film is a masterpiece of movies. I went into the film with a huge expectation of it being",1
" I must say that I find this film to be one of the most original of the 70's, and that is very difficult to do. The story in this film is much more about teen angst than usual, but the characters are actually quite likeable. I imagine that Billy Crystal and Lisa Kudrow will be particularly interesting. I find it difficult to see how this could",1
 Blake Brody's beautiful and well-taken-out portrait of the famous songwriter has attracted great interest here in the past. ,1
" I particularly liked the song ""You Can't Make This Half-Way House"" performed by Kevin Spacey's character David, the Music Man.<br /><br />Of course, the rest of the movie has it all very much else to offer, including a very likable lead character played by Matt Damon. A few of the supporting cast members are also quite good,",1
" Because it is a gay-male movie, I am hesitant to compare it to another movie that is often regarded as a gay-male movie. But in this case it is Deep Throat, something about which I am only too happy to say my appreciation. I see the movie often and sometimes it is even better than I remember. ",1
" It's easy to be cynical when it comes to Christopher Plummer's and Meryl Streep's control of the cult shtick in Titanic, but I'd be damned if it wasn't the best portrayal of a true survivor of the Titanic disaster so far on the big screen. If there was one major drawback to this film, it's that the cast didn't share that",1
" Excellent - possibly the best recently released film in my time. The script is beautifully written by Richard Price and it moves fast, with wonderful effects. However, there are some interesting digressions into the lives of Charley Chase, the man at the center of the story, and Rex Connor. It's certainly worth watching, especially for the first time. Michael Haneke",1
" My experience with this one has been, and I mean it, only tangentially. My first memory of this movie is that I saw it when it was on in 1954, the year of the original release of the film. Since then, I have seen it numerous times on the VHS and Laserlink release platforms, and I have enjoyed it every time. What I will",1
" Well, what can I say about this one? It's not exactly the best of the bunch, and I think it's really the weakest in the series. Well, yes, but for a different reason. A little bit like Chopper, this is a movie that's too densely shot, too long, too much about sex and far too little about political issues. The",1
