text,label
" Let me just say that this movie is not funny at all, not even by accident! I cannot understand why anybody would give this film a positive review. I got an award from work for watching this movie, but that's all. I had to fast forward through most of the sex scene and at one point, I just had to put it down and walked away because I",1
" ""City of God"" has been a critical and audience favorite for years. I've just finally decided to watch it and people were right... it's an unforgettable, powerful, and challenging piece of cinema. It's a film about violence, desperation, and the sins of the past, but it's not a film for the faint of heart... Brace yourself... REVIEW",1
" HOW CAN ANYONE NOT LIKE THIS FILM!!?!?!?!?! It's got the best ending ever,and it's got a GREAT message. I'd recommend this film to anyone who's life is in need of an Adventure! ",1
" Where to begin? ""Requiem for a Dream"" is about the first movie I've seen that makes me think - ""Wow, now I know how movies are really made."" This is a movie with a message that should be taken to heart by every young person in the country. This is a movie that really leaves a mark. It was so intense that I saw it",1
" I recently had the opportunity to take my 15 year old daughter to see this movie on the big screen. She had read the book and I had read the book. The movie was very well done. It was fast paced, had lots of action, and it was never boring. I had read the book and had my doubts on how they would be able to take this book",1
" Honestly, this is a really good movie. As I often am, I was extremely wary when I found it on the shelf. I didin't think it would be any good, but I thought I'd give it a shot, given that Adam Sandler is the leading man. I couldn't have been happier. The movie is really cool. It's pretty much your",1
" When I first viewed ""Coming Of Age,"" I did not know what to think of it. I did not know whether parents would find it offensive or not. Now, several years later, I have a completely different view of ""Coming Of Age"" and it has become one of my favorite movies of all time. Most people will find it shocking and very offensive for a variety",1
" I have seen these two movies in cinema when I was a boy. Both were showing with a single ticket. I remember when I saw these two films in a double bill, I was very disappointed with ""Quatermass 2"" because I was expecting what I saw in ""Quatermass and the Pit"" but I found that sequel so boring. However, these two films",1
" An endearing, touching, and hilarious film portraying the life of a young man of humble beginnings coming into his own. While the songs are not as quotable as the ones from ""High of the Curves,"" ""Dumb & Dumber,"" and ""There's Something About Mary,"" they're still good. Even the stalker song is fun. This is an entertaining",1
" One of my most beloved films. I've seen this so many times that I could pick up on something I had missed before. I absolutely love everything about this movie. I bought the soundtrack two years ago and will take it with me on a fun trip someday, knowing the whole soundtrack by heart. It's got great acting, a great plot, and amazing characters. It",1
