review,sentiment
"This Santa movie starts off strange and I think Santa might be a pedo. Instead of the usual elf toy makers, this Santa has apparently kidnapped kids from all across the globe and makes them sing a bit like characters from ""It's a Small World""! I guess there are no child labor laws on the weird astral plane on which he lives (it's apparently NOT the North Pole and not on Earth)!! None of these kids seem very happy and I kept wanting to see commandos break in and rescue the tykes, though I guess for some of the third world kids, these working conditions were perhaps an improvement over local sweatshops. I sure hope that all they do is sing and make toys.<br /><br />Then, the scene abruptly changes to Hell where lots and lots of demons dance about like they are in a Busby Berkeley musical. This fun in put to a stop by Satan who orders one of them, Pitch, to go to Earth to ruin Christmas!! Personally, I thought this movie already did that! The Devil and his imps are actually kind of cute--like Hot Stuff from the Harvey Comics but with cool evil goatees! Or, if you are Puerto Rican, like a vejigante mask with a goatee! <br /><br />Somehow a poverty-stricken Mexican kid named Lupita, a group of jerky kids who want to mug Santa and some rich kid are key battlegrounds for the Devil and Santa!! So, if the Prince of Darkness (not Donald Trump, it's the OTHER Prince of Darkness) can somehow make her steal and be bad, he'll 'win'--what, we don't really know! In fact, as they root her on, you get the impression that the film makers intend Santa to be Jesus--as he has all these great powers AND fights the Devil over kids' souls! Later, Santa meets with his friend, Merlin. He asks him to make him a special powder that makes people dream nice dreams. Considering how much Santa laughs in the film (like a demented chipmunk), I assume he must use this drug A LOT! He immediately goes to see a blacksmith who makes him a magic key that opens ALL doors. Considering he keeps kids as his personal 'assistants', this magic key thing worries me immensely! During Santa's Christmas Eve ride, you see Lupita behave like a little angel--one problem down. Santa then takes time out now to take care of the rich kid whose parents are selfish jerks. He gives them some sort of crazy cocktail which magically solves their problems--two problems solved. This is a rare case where alcohol/drugs HELP kids and solves problems! And as for the little muggers, he gives them coal! Frustrated with his losses to Santa, Pitch then tries to steal the sleigh (which is pulled by creepy animatronic deer). When this fails, he destroys Santa's stash of 'magic powder'! As a result, Santa can't become invisible to avoid dogs and gets treed. Uh, oh...how can Santa take a detour to the Betty Ford Clinic if he's stuck up a tree?! Will St. Nick get down from the tree and get the monkey off his back or will the devils win? If you care, tune in and see. However, be warned that the film is bat-crap crazy! <br /><br />Technically speaking, the film is yecchy. While it is in color, it's really gaudy. The music is mostly done on an organ--which, along with bad singing from the kids, produces perhaps the worst soundtrack I've heard in recent memory. And the story is just incomprehensible and very, very, very creepy. Devils and a Santa that kidnaps kids is just plain creep-tastic. It's a film you should NEVER show to kids but makes a great film to watch with friends so you can laugh at it from start to finish!",0
"This film is more than the story of Danton. It was a joint Polish French production filmed at the time of the beginning of the end of the Soviet system. It probably helped spur the Solidarity movement's union activity. It is more about Poland in the 20th century than the French Revolution. Solidarity began the end of the system. This film itself is historical by it's very existence....the rest is History.<br /><br />Robspiere, aka. totalitarian leaders. Danton, aka. Walensa. When one watches this film, one must remember the snowball which began in Poland. <br /><br />Actually, it could be useful for seeing the superpower struggle within the only superpower left.",1
"Maaan, where do i start with this god awful movie. Bad bad bad story telling. I do not know what the director was thinking when he made this movie. Namaste London was quite an enjoyable movie to be honest..even the soundtrack was good. But in this one..oh my good..for a movie which is supposed to be a musical one..the songs are soooo bad. AR Rahman should have been the music director. <br /><br />Given two great actors a much better job should have been done by the director. Even though the first half sucks, the last 30 mins of the movie are OK. Performances from Salman and Ajay save the movie from being a total disaster.<br /><br />Watch it if you have nothing better to do. The last good movie from Bollywood i watched ( and i do watch a load of them) is Dev D and Wake Up Sid.",0
"Sui generis. Folks, I'm not going to lie to you; Merhige is a one or two hit wonder, but what a film (it almost excuses SUSPECT ZERO). I'm also not going to pretend to understand it completely; half of what makes it what it is is trying to second guess what the hell they are doing on the screen because of the chiaroscuro.<br /><br />Richard Corliss says, ""It is as if a druidical cult had re-enacted, for real, three Bible stories -- creation, the Nativity and Jesus' torture and death on Golgotha."" That's not a bad description, but there seems to be more to it than the seemingly one-to-one religious correspondences.<br /><br />There's an environmental theme right up near the surface -- note that toward the end (after the barrenness of the landscape) there are large pipes not unlike those on a construction site. Oh no, he's going to say look at how people are raping mother nature. One rarely sees a dead metaphor in action, and with this much hyperbole, but to see it acted out is way grislier than language implies.<br /><br />And yeah, if you just want something to sync with a death metal soundtrack, it does have the requisite atrocities. But as for myself and others like me, it's an important art film that should merit a Criterion collection release. Ranks right up there with Murnau's FAUST.<br /><br />~ Ray",1
"Originally harped as a sequel to ""The Slumber Party Massacre"" series, this film falls flat on it's face with a new title. First off, if you are going to include the word ""massacre"" in your film's title, you better deliver. This one certainly does not. There is no gore, no on screen murders and no chainsaw, as the box art would lead you to believe. Instead, we get a paper thin, overdone plot about a group of cheerleaders who get stranded in an abandoned cabin on the way to a football game, only to be offed one by one. Again, this film could have been OK if the gore quotient was upped a bit. Why directors, especially those doing direct-to-video flicks, are afraid to show ANY gore is beyond me. Now, I am not a huge fan of excessive gore, but come on...why else would anyone rent a movie called ""Cheerleader Massacre??"" Besides that problem, the film suffers from a shot-on-a-home-video-camera cheapness. It looks cheap, sounds cheap, and the actors aren't all that good. It tries to throw us off track to who the killer may be, but even that fails. The ending ends up being a ridiculous mess. Folks, if you run across this film, walk away and go find the original ""Slumber Party Massacre."" 2 out of 10.",0
"""Stargate SG-1"" follows the intergalactic explorations of a team named SG-1 through a device called the Stargate and all the surprises awaiting on the other side of the wormhole.<br /><br />Having seen this series sporadically for it's first few seasons when it first came out, I didn't know how good this series would really be, 10 years after I had last seen an episode. My old impression was that the series was great, but my impression was far from the truth. ""Stargate SG-1"" is more than just a simple sci-fi series, it is one of the most well made, interesting, long running, exciting sci-fi ever produced. And why? Because it runs on an amazing premise.<br /><br />This series value far surpasses that of the movie it was based on and I think it is a very good example that television, as a medium, with a suitable premise, is able to provide something that doesn't work on the time restriction of film. The sense of familiarity created by a long running series, watching the characters and their circumstances progressing with time is stunning and just adds to the ability to suspend disbelief, and it's all a result of terrific writing and a lot of dedication by the all crew to the show.<br /><br />""Stargate SG-1"" kept offering great adventures throughout the 10 years, but was never afraid of the challenge of moving the plot and it gave way for some very different time periods of the show: <br /><br />- The first few seasons, perhaps up to the 4th/5th, focused a lot more on the exploration of planets and different situations, keeping the episodes fairly unrelated to each other if it were not for the always impending Goaul'd threat. <br /><br />- From the 5th to the 7th there was increasingly more episodes focusing on fighting the Goaul'd and preventing attacks on Earth. After this seasons exploration of the planets was almost only an excuse for putting sg-1 in a place of Goaul'd/replicator/ori conflicts<br /><br />- The 8th season is probably the most mixed one. It has a stream of episodes that includes minor earth matters in which the stargate is hardly even mentioned, but the last episodes feature some great replicator moments. <br /><br />- The 9th and 10th travel together because they have the same new enemy and no Jack O'Neil. They are both good continuations, although the first few episodes of the 10th season are a little weak, because they seem to be about little more than SG-1 and human/Jaffa losing battle after battle to the Ori.<br /><br />Basically, after season 7, exploration was pushed to the background, which in many ways was a shame, because of the potential and mystery each planet(episode) presented; on the other hand, it made for so many great episodes of the ongoing conflicts that the change of nature of the show still worked and shows how great and bold the writers were.<br /><br />Even tough I believe the series have a high quality ending that nicely puts it to rest, the feeling I have is that it could go on; the people involved were all great professionals and the series narrative had plenty to offer. A last season returning to the beginning nature of the series was very doable and would have been most welcome, but ultimately things are as they are.<br /><br />In the end, because of the fact that I enjoyed everything, it's a little hard to find that it ends. The big picture, however, the one drawn by the work of hundreds of people over the course of 10 years, is a sight of beauty and a true testament to the dedication of the crew, those outstanding actors and the characters the we will always remember as a collective by the name of SG-1.",1
"Very slow, dull, enigmatic film. MAybe the kind of film Jean-Luc Godard would have made had he been Italian. Certainly conveys how tedious, repetitious, joyless and empty a person's life can be, but I don't usually go to the cinema to find that out! The plot (such as it is) doesn't convince. Why a gorgeous hotel receptionist (an exception to the dullness of the film) would be the slightest bit interested in a moody, chain-smoking, silent loner who speaks in 'deep' aphorisms baffles me. Very difficult to feel any sympathy with the main character. One feels like shaking him by the throat and telling him to 'snap out of it!'. His brother is a much more human character. The ending is inconclusive and puzzling. Everyone in the cinema (when I saw the film) went out muttering about how they nearly fell asleep. Of course, it shouldn't have to be a Hollywood Bruce Willis-style 'shhot-em-up' and 'crash-bang' fiesta, but a little bit of energy and action would have made it a lot more thrilling. One of the best Italian films ever?! Pleease...An art-house, curiosity at best.",0
"If I compare two films with Sacha Cohen, Borat and Ali G then Ali G is immeasurably better. I'ts no master piece, but it's a film at least. Borat is complete garbage and I do not understand how it rated better then Ali G.<br /><br />I cannot put my finger on it, there something wrong with the Ali G script: half of the jokes are as if written by a 15 years old, not by an adult scriptwriter. And a number of jokes including Mr Cohen's lower body are quite tasteless. <br /><br />But the film actually comes together as a comedy and there are some valid jokes too that are funny: such as how Ali G becomes a member of government for doing something scandalous and stupid in the public (sadly true in today's western society: people get careers for doing stupid things in public), also Ali's advice about immigrant policy and some others. <br /><br />Ali G overall remains a sympathetic character, even though a kind of mentally underdeveloped for his age. But it's OK to watch,it's quite funny.<br /><br />But never ever watch Borat, it's awful and makes every intelligent movielover sick.",0
"To begin with, I really love Lucy. Her TV show still makes me laugh. She was one of the greatest comedians who ever lived, right up there with Chaplin and Keaton. But, her performance in this movie is disappointing. She was too old, and the gauze filters on the lens make her look like a London fog refugee. She couldn't sing, and her voice was so froggy that she croaked through every song. Her dancing days were long in the past. Just because you are a Lucy fan, don't gloss over this mistaken, sad performance and sing it's praises. I prefer to remember Lucy in her wonderful TV series(I Love Lucy) and to draw the curtain of charity over the terrible mess of a movie called ""Mame"".",0
"Who were they kidding with this? There was just too much in this film that was hard to digest. Right from when Arjun (Ajay Devgan) unknowingly wishes death on his father to when he arrives in London with his uncle(played by Om Puri) only to abandon him minutes later. The only problem with that theory is that anybody who has ever passed through London Heathrow knows that such a fête would be impossible to pull off and especially not by an Indian. But the film problems do not end there, there's the issue of the two main leads (Salman Khan and Ajay Devgan) passing as rock-stars on the verge of achieving their dreams. I mean yeah we saw success come to Susan Boyle (a woman in the UK achieving her dreams after age 50) but that was a rare case. It was really hard for me to suspend my disbelief because I felt that the casting of Salman and Ajay was just ill-conceived. They would never cast Madhuri Dixit and Sridevi to play the same roles so why should we be forced to watch Ajay Devgan and Salman Khan (men well into their 40s) prance around desperately trying to hang on to their 20s? Let's not even talk about the most self-conscious actress on screen today, Asin. This is her second film (that I have seen) and she is just hopeless as an actress, so conscious of her looks that she only concerns herself with looking good and voguing for the camera rather than giving in a good acting performance. It's just hard to believe that she turned down all those other movie roles to star in this fluff and then be so fluffy as an actress, nothing to write home about at all. And to top all of that, the film just boringly dragged on. There's nothing special about it at all, trust me you will predict every clichéd thing that is going to happen in it.",0
