text,label
"Macbeth is one of the most frequently told stories in cinema and has been translated many times in numerous theater and celluloid settings. Originally written by William Shakespeare in the early 1600's, Macbeth tells the story of betrayal among royalty and one man's quest for power. Director Geoffrey Wright (Romper Stomper) tries his hand at updating Macbeth by setting it in the contemporary Melbourne underworld. A film where the characters substitute swords for guns (ala Baz Luhrman's Romeo and Juliet) and royal vassals for gangsters, Macbeth is a gritty, violent, but critically flawed film.<br /><br />Macbeth (Sam Worthington)works for King Duncan (Gary Sweet). After being elevated to the Thane of Glamis by The King (as was prophesied to Macbeth by three witches), Macbeth starts setting his eyes on the throne. One night the King comes to stay at Macbeth's house and Lady Macbeth (Victor",0
"This movie is a loose collection of unintelligible analogies and ill conceived plot devices.<br /><br />Movie history: The director of this film was a pervert who drove around town filming random women. When his wife discovered the film reels, he was forced to quickly contrive a story. He claimed he was making a movie called ""The brain that wouldn't die."" Eventually, his wife demanded that he show her his ""so called movie."" That night he quickly filmed some extra scenes with a friend and ""The Brain that wouldn't Die"" was born.<br /><br />I hate this movie! Plot Synopsis: The main character's fiancé is killed in a horrible car accident(that he caused by ignoring the clearly posted road signs). He grabs her head from the wreckage and reanimates it. After reanimating the head, he goes and picks up a bunch of hookers. That is pretty much what happens for the rest of the movie. At the end, he",0
"Oh, man, I hated this movie. Granted, the site locations were great, but that's about the ONLY positive thing I can say about it. Now, I'm going to state right at the beginning that I am VERY critical of the way weapons, especially firearms, are both portrayed, and handled, in movies. Being a war flick, portrayal was fine, but the shoddy weapons handling in the movie would have NEVER been tolerated by a real SEAL Team. The acting was more wooden than my first sailboat, the equipment carried (or lack of it) was laughable, and the dialogue was, shall we say, lacking in ANYTHING interesting. Well, with the exception of the journalist, which was actually prescient. Watching this movie was comparable to watching ""Palmetto"" with Woody Harrelson, where each scene was so bad you just couldn't turn it off, because you had to see if they could get worse with the next scene. Like Palmetto, they cer",0
"Lame B-horror that takes itself too damn seriously considering its subject matter concerns an aging old dear who has been turned into a creature of the night by a lodger who has come to rent a room from her. When said lodger is killed off, Mom has to go out to feed on her own and that causes some family strain and also garners some attention from the authorities.<br /><br />My main complaint is that this film should have brought THE FUNNY. It failed to do so although it did have some mild gore and schlocky creature makeup effects to keep the B-movie crowd happy. I've seen worse but I wouldn't give this one a rec--4.5/10.",0
"Some ugly weirdo who had three families, cheated on and neglected all of them, built ugly useless buildings all over which are now unappreciated and crumbling. His bastard half-Jew son runs around interviewing random Jewish senile people who we care nothing about and shows his dreadful narrating and writing skills while tragic piano music plays. This goes on for almost two boring hours and amounts to nothing.<br /><br />All you shallow hippie people who watch these stupid documentaries, eating salads and yogurt, think all this crap is so important. It's not. Save the whales. No one cares.",0
"A typical Clausen film, but then again not typical. Clausen writes, directs and play one of the leading roles. This is really a great film about normal people living normal lives trying to make the best of it. The 4 primary actors were fantastic.<br /><br />Fritz Helmut was convincing. You believe that he really is sick.<br /><br />Sonja Richter plays a nurse that really is an actor, but it turns out that she is the best nurse to take care of the old man.<br /><br />Everybody has problems and those who nobody believes in ends up being happy. But nothing good comes easy, they have to fight to win their life and love.",1
"I Sell the Dead is a big, sloppy horror comedy that refuses to take itself too seriously. This has advantages and drawbacks. The 85 minutes of the film breeze by and the film is full of bits sometimes funny, sometimes scary, sometimes gory, occasionally all three at once, but the individual bits are much better than the sum of the film's parts.<br /><br />The story, such as it is, follows professional grave robber Arthur Blake (played by Dominic Monaghan). Arthur's partner-in-crime Willie Grimes (Larry Fessenden) has just had his head chopped off for murder and Arthur has one night left before his own head is forfeit for the same crime. Arthur insists that he is innocent of murder, but there are plenty of other crimes that he is willing to confess to when bribed with Irish Whisky by a Catholic priest (played by Ron Perlman).<br /><br />Since the movie is a series of grave-robbing anecdot",1
"My friend had the idea of watching the animated LOTR after seeing the Peter Jackson Return of The King. So I finally bought it off e-bay, thinking right from the start it was going to suck. Actually, it really wasn't as bad as I thought it would be. The animation was good for its time, they used a unique method of blending live action with animation to create some interesting effects, and the guy who did the voice for Frodo sounded somewhat like Elijah Wood.<br /><br />Not the greatest adaptation of a book, but trust me, I've seen a lot worse. It skips quite a lot of things, since both Fellowship and The Two Towers are compressed into one two hour movie. Definatley worth a watch, kids might like, but still, absoutley no comparision with the Peter Jackson trilogy.",1
"Please be aware that this film has nothing to do with the Radio City Music Hall! As an archivist re: the Music Hall..I know what is and what is not associated with the New York venue. The film's Theodore is just the ""Music Hall."" No Rockettes are in the film. Only wonderful ice skaters plus superb actors and fun. Just thought you would like to know. Truly a wonderful film. You will never guess who the 'murderer' is while watching this film....till the very end. What a superb plot and beautiful ice skating. One never sees that kind of performances any more. The Roxy Theater and the Center Theatres, in New York city, had ice skating performances on stage!",1
"Sorry everyone,,, I know this is supposed to be an ""art"" film,, but wow, they should have handed out guns at the screening so people could blow their brains out and not watch. Although the scene design and photographic direction was excellent, this story is too painful to watch. The absence of a sound track was brutal. The loooonnnnng shots were too long. How long can you watch two people just sitting there and talking? Especially when the dialogue is two people complaining. I really had a hard time just getting through this film. The performances were excellent, but how much of that dark, sombre, uninspired, stuff can you take? The only thing i liked was Maureen Stapleton and her red dress and dancing scene. Otherwise this was a ripoff of Bergman. And i'm no fan f his either. I think anyone who says they enjoyed 1 1/2 hours of this is,, well, lying.",0
