text,label
"This Santa movie starts off strange and I think Santa might be a pedo. Instead of the usual elf toy makers, this Santa has apparently kidnapped kids from all across the globe and makes them sing a bit like characters from ""It's a Small World""! I guess there are no child labor laws on the weird astral plane on which he lives (it's apparently NOT the North Pole and not on Earth)!! None of these kids seem very happy and I kept wanting to see commandos break in and rescue the tykes, though I guess for some of the third world kids, these working conditions were perhaps an improvement over local sweatshops. I sure hope that all they do is sing and make toys.<br /><br />Then, the scene abruptly changes to Hell where lots and lots of demons dance about like they are in a Busby Berkeley musical. This fun in put to a stop by Satan who orders one of them, Pitch, to go to Earth to ruin Christmas!! P",0
"This film is more than the story of Danton. It was a joint Polish French production filmed at the time of the beginning of the end of the Soviet system. It probably helped spur the Solidarity movement's union activity. It is more about Poland in the 20th century than the French Revolution. Solidarity began the end of the system. This film itself is historical by it's very existence....the rest is History.<br /><br />Robspiere, aka. totalitarian leaders. Danton, aka. Walensa. When one watches this film, one must remember the snowball which began in Poland. <br /><br />Actually, it could be useful for seeing the superpower struggle within the only superpower left.",1
"Maaan, where do i start with this god awful movie. Bad bad bad story telling. I do not know what the director was thinking when he made this movie. Namaste London was quite an enjoyable movie to be honest..even the soundtrack was good. But in this one..oh my good..for a movie which is supposed to be a musical one..the songs are soooo bad. AR Rahman should have been the music director. <br /><br />Given two great actors a much better job should have been done by the director. Even though the first half sucks, the last 30 mins of the movie are OK. Performances from Salman and Ajay save the movie from being a total disaster.<br /><br />Watch it if you have nothing better to do. The last good movie from Bollywood i watched ( and i do watch a load of them) is Dev D and Wake Up Sid.",0
"Sui generis. Folks, I'm not going to lie to you; Merhige is a one or two hit wonder, but what a film (it almost excuses SUSPECT ZERO). I'm also not going to pretend to understand it completely; half of what makes it what it is is trying to second guess what the hell they are doing on the screen because of the chiaroscuro.<br /><br />Richard Corliss says, ""It is as if a druidical cult had re-enacted, for real, three Bible stories -- creation, the Nativity and Jesus' torture and death on Golgotha."" That's not a bad description, but there seems to be more to it than the seemingly one-to-one religious correspondences.<br /><br />There's an environmental theme right up near the surface -- note that toward the end (after the barrenness of the landscape) there are large pipes not unlike those on a construction site. Oh no, he's going to say look at how people are raping mother nature. One rarel",1
"Originally harped as a sequel to ""The Slumber Party Massacre"" series, this film falls flat on it's face with a new title. First off, if you are going to include the word ""massacre"" in your film's title, you better deliver. This one certainly does not. There is no gore, no on screen murders and no chainsaw, as the box art would lead you to believe. Instead, we get a paper thin, overdone plot about a group of cheerleaders who get stranded in an abandoned cabin on the way to a football game, only to be offed one by one. Again, this film could have been OK if the gore quotient was upped a bit. Why directors, especially those doing direct-to-video flicks, are afraid to show ANY gore is beyond me. Now, I am not a huge fan of excessive gore, but come on...why else would anyone rent a movie called ""Cheerleader Massacre??"" Besides that problem, the film suffers from a shot-on-a-home-video-camera ",0
"""Stargate SG-1"" follows the intergalactic explorations of a team named SG-1 through a device called the Stargate and all the surprises awaiting on the other side of the wormhole.<br /><br />Having seen this series sporadically for it's first few seasons when it first came out, I didn't know how good this series would really be, 10 years after I had last seen an episode. My old impression was that the series was great, but my impression was far from the truth. ""Stargate SG-1"" is more than just a simple sci-fi series, it is one of the most well made, interesting, long running, exciting sci-fi ever produced. And why? Because it runs on an amazing premise.<br /><br />This series value far surpasses that of the movie it was based on and I think it is a very good example that television, as a medium, with a suitable premise, is able to provide something that doesn't work on the time restrictio",1
"Very slow, dull, enigmatic film. MAybe the kind of film Jean-Luc Godard would have made had he been Italian. Certainly conveys how tedious, repetitious, joyless and empty a person's life can be, but I don't usually go to the cinema to find that out! The plot (such as it is) doesn't convince. Why a gorgeous hotel receptionist (an exception to the dullness of the film) would be the slightest bit interested in a moody, chain-smoking, silent loner who speaks in 'deep' aphorisms baffles me. Very difficult to feel any sympathy with the main character. One feels like shaking him by the throat and telling him to 'snap out of it!'. His brother is a much more human character. The ending is inconclusive and puzzling. Everyone in the cinema (when I saw the film) went out muttering about how they nearly fell asleep. Of course, it shouldn't have to be a Hollywood Bruce Willis-style 'shhot-em-up' and '",0
"If I compare two films with Sacha Cohen, Borat and Ali G then Ali G is immeasurably better. I'ts no master piece, but it's a film at least. Borat is complete garbage and I do not understand how it rated better then Ali G.<br /><br />I cannot put my finger on it, there something wrong with the Ali G script: half of the jokes are as if written by a 15 years old, not by an adult scriptwriter. And a number of jokes including Mr Cohen's lower body are quite tasteless. <br /><br />But the film actually comes together as a comedy and there are some valid jokes too that are funny: such as how Ali G becomes a member of government for doing something scandalous and stupid in the public (sadly true in today's western society: people get careers for doing stupid things in public), also Ali's advice about immigrant policy and some others. <br /><br />Ali G overall remains a sympathetic character, eve",0
"To begin with, I really love Lucy. Her TV show still makes me laugh. She was one of the greatest comedians who ever lived, right up there with Chaplin and Keaton. But, her performance in this movie is disappointing. She was too old, and the gauze filters on the lens make her look like a London fog refugee. She couldn't sing, and her voice was so froggy that she croaked through every song. Her dancing days were long in the past. Just because you are a Lucy fan, don't gloss over this mistaken, sad performance and sing it's praises. I prefer to remember Lucy in her wonderful TV series(I Love Lucy) and to draw the curtain of charity over the terrible mess of a movie called ""Mame"".",0
"Who were they kidding with this? There was just too much in this film that was hard to digest. Right from when Arjun (Ajay Devgan) unknowingly wishes death on his father to when he arrives in London with his uncle(played by Om Puri) only to abandon him minutes later. The only problem with that theory is that anybody who has ever passed through London Heathrow knows that such a fête would be impossible to pull off and especially not by an Indian. But the film problems do not end there, there's the issue of the two main leads (Salman Khan and Ajay Devgan) passing as rock-stars on the verge of achieving their dreams. I mean yeah we saw success come to Susan Boyle (a woman in the UK achieving her dreams after age 50) but that was a rare case. It was really hard for me to suspend my disbelief because I felt that the casting of Salman and Ajay was just ill-conceived. They would never cast Madh",0
This movie is truly boring. It was banned in Chinese cinema and i can see why. It's not because it's critical of the communist regime but simply because the movie is of such low quality. I would never want to pay money to watch this. I love movies from Chen Kaige and Zhang Yimou and i am disappointed such a poor movie could come out of China. It totally seems to ignore the audience and the director seems to have made the movie for himself. The shots of a person standing there doing nothing for up to a minute are hilarious and there's plenty of them. The cinematography and video quality are unbelievably bad. I looked this film up on the Net and it seems like people actually like this film. The only explanation i have for this is that some film buffs think that if a film is not in English it is automatically good. I can't see any reason why people would like this. this is not an art film i,0
"I first saw this back in the early 90s on UK TV, i did like it then but i missed the chance to tape it, many years passed but the film always stuck with me and i lost hope of seeing it TV again, the main thing that stuck with me was the end, the hole castle part really touched me, its easy to watch, has a great story, great music, the list goes on and on, its OK me saying how good it is but everyone will take there own best bits away with them once they have seen it, yes the animation is top notch and beautiful to watch, it does show its age in a very few parts but that has now become part of it beauty, i am so glad it has came out on DVD as it is one of my top 10 films of all time. Buy it or rent it just see it, best viewing is at night alone with drink and food in reach so you don't have to stop the film.<br /><br />Enjoy",1
"this film explores if not creates a whole new genre with perfect imperfection --- hilarity, truth, fun, talent and circumstance that make for MAGIC. <br /><br />from creative musical numbers to off the cuff comedy that incorporates actors at their very best, if i hadn't have known better, i would have thought there was an elaborate script here.<br /><br />what you get: a mighty wind meets conversations with god meets something so fresh and new and delightful that it becomes it's own entity.<br /><br />peters and fell both give stellar performances and reel you in immediately. the rest of the cast is also phenomenal. there are no small parts....... only small actors, and everyone involved here should be patted on the back, taken out to dinner and be considered for an Oscar.<br /><br />well done!",1
"I can't say this show is perfect. Perhaps all the previous commenters remember the old Tuesday 10:30 slot taken up by the childish humour of butch Elvira Curt (""There's a space shuttle humping a 747!""). Oh the glory of scrambling to hit any button on the remote to make it change.<br /><br />Face it, comedy can't pull a Showcase and create the comedic genius of the truly Canadian Trailer Park Boys. But hey, they try.<br /><br />This show is by far one of the better original shows. However, none of the following will find themselves laughing at the apparent ""players"" who showcase their stupidity in picking up girls:<br /><br />a) ""Dumb"" Girls - Obviously, they can't realise that they are just like the girls on the show. Oblivious. Jump on the man meat, you can call yourself a whore tomorrow and get his name. He looks good, he must be popular and nice. HAHAHAHA!!! Oh but you'd never do that",1
"This film was hard to get a hold of, and when I eventually saw it the disappointment was overwhelming. I mean, this is one of the great stories of the twentieth century: an unknown man takes advantage of the unsuspecting airline industry and GETS AWAY with millions in ransom without hurting anyone or bungling the attempt. With all of this built-in interest, how could anyone make such a lackluster, talk-laden flick of this true-life event. While Williams is always interesting, the screenwriters assumed that the D.B. Cooper persona was stereotypically heroic like a movie star, s what we get is a type-without any engaging details or insights into the mind of a person daring enough and clever enough to have pulled it off. Harrold practically steals the movie with her spunk and pure beauty, but the real letdown was in the handling of the plot and the lame direction. Shame on this film for eve",0
"I'd like to start off by saying that I am NOT an anime fan (with a few notable exceptions), and I generally have a low opinion of so-called otakus, as they are so in love with their particular brand of cartooning that they label every movie starring spiky-haired, big-eyed characters as a work of art without even considering other more vital factors, such as the plot. And no anime movie better represents this division between otakus and people with actual taste than this elegant piece of trash, Fatal Fury: the Motion Picture.<br /><br /> As seen through the glassy, witless eyes of an otaku, there's little to find fault with in Fatal Fury-- there's plenty of quirky Japanese-y humor, one-on-one duels, some ""dramatic"" moments, and everything is beautifully drawn. But everyone else will be turned off by the cliched, predictable plot with cliched, predictable characters, culminating in a clich",0
"Where to begin. This movie started out as something that seemed like a rip-off of ""Darkness Falls"". An old , disfigured woman living in the woods, giving kids presents for their teeth. Sound familiar? Then it changes. In ""Darkness Falls"", the tooth fairy only killed you if you saw her. The tooth fairy in this movie killed you no matter what. Why did they need the rocker, his hippie girlfriend or the Bubbas and their sister? I think the movie would've been fine without them. It seems like the producers sat around and decided that they needed to put extra people in the movie just so the tooth fairy would have people to kill. Although, it's nice to see a pretty blonde girl not being portrayed as a bubble-head for a change. Okay to rent, but I wouldn't suggest buying it.",0
"The Man Who Knew Too Much{1956}is a remake of a film that Alfred Hitchcock made in England in 1934 with the same name. In my opinion, his later effort is far superior. Many critics and fans of Alfred Hitchcock will argue that the remake is mediocre and doesn't have the spine tingling suspense of the original with Peter Lorre. In both films the plot is essentially the same, except the original is set in Switzerland and the remake in Marrakech . It tells the story of a married couple {James Stewart and Doris Day}vacationing with their young son and meeting a suspicious man, that is very curious about their past. It just so happens, he's an agent that's looking for a couple involved in a plot to assassinate a world leader.Then he gets stabbed in a Marrakeck market because of it being found out that he's a spy,and proceeds to fall into Stewart's arms.Dying,he tells him the whole story of the",1
"If you want to see a Horror Film which is Horrible and in very bad taste, this is definitely the film to view. This films starts out with two young teenagers getting wild ideas about going into a chat room and going out on blind dates, and quite possibly they will wind up like a little lamb to the slaughter house. Plenty of blood, gore, nudity, handcuffs and all kinds of blood draining hooks and things you will never dream a person is capable of performing on men and women. If you like piercing, well this kind of piercing deals with heavy heavy hooks and plenty of tattoo's; besides, lots of needles and thread to seal up things on the human body. I really hope that this film does not give some sick person in this world, the idea to act out these horrors in real LIFE.",0
"15 PARK AVENUE is the address ""Mithi/Mithali"" (Konkona) is in search for from the movies beginning. ""Prof.Anu"" (Shabhana Azmi)is Mithi's extremely caring and loving half sister from Mithi's mom's earlier marriage. The movie revolves around these characters and looks into the life of a schizophrenic patient (Mithi). The director tries to explain to the viewer the imaginary world of Mithi, through her continuous blabbering to Anu and others. <br /><br />Konkona deserves not one but thousands of awards (which I am sure, she will be getting)for this rendition of Mithi in this movie. You can see the look of a patient written on her face, by the drooping lips and sleepy eyes, from the first scene itself. Rahul Bose has done a good job, but has been reduced to one half of the movie in spite of his importance in their life.<br /><br />Watch out for the intense relationships shown between the cha",1
"The story was well plotted and interesting by itself. However, it is difficult for me to write the review of this film without spoiling you. To avoid that, I am not going to talking the story here.<br /><br />I regard this film as a good adaption of Sarah Water's book, as compared with the previous one ""Tipping the velvet"". I read the book first and then watched the DVD later. The film did retain most of spirits of the main characters in the book. Of course, due to the time limitation, the film in the last 30 min seemed to be in a rush to cover the part III of the book. Therefore, it couldn't illustrate well the scene when they all met in the the kitchen of Mr. Ibbs's place and those after that (even the book seemed to me to be a rush on that kitchen scene). Despite that, the film actually did a good job in representing the story. It really worth watching. It's still unclear when BBC-Ame",1
"Visual creative epic of inimitable style.<br /><br />This film may neither have the most alternative dramaturgy nor the most artistic acting. But who dares to say this film is no art? I'm not a supporter of the idea, that an important film must be serious, non-commercial or bothering me with questions. Even there are a lot of films, apposite to this attributes, that I like.<br /><br />Bogus Journey, for sure, is not one of this films. What you get is pure, excessive creativity with a very positive charged, childlike energy. This film doesn't reflect reality. Its friendly-naive and utopian. Imagine the world of the future described by Rufus - for me it would be a pretty nice time-place combination to live in! Except of that music ;- )<br /><br />Technically, Bogus Jorney is very well made. I always liked the cinematography and the sceneries of this movie. Especially in this point Bogus Jo",1
"The first ""Home Alone"" was one of the funniest movies of the 90's. The second was just as funny with the same cast and jokes! Now comes ""Home Alone 3"". I was curious how they could continue with the same story considering Kevin would've been 17 by 1997. He could take care of himself, right? So, what does the director decide to do? He takes a child just as annoying and makes him sick. The kid is like 6 years old and the mother leaves him alone in the house? What kind of team of burgerlers are these idiots? I don't really want to get too into detail if you want to sadly see this movie. But please, I'd recommend that you'd stay away from it. It's not worth your precious time. Go fold a piece of paper, do chores, balance a pencil on your nose, or take a nap! It's better to do then to watch ""Home Alone 3""!<br /><br />1/10",0
