text,label
 I will await. ,0
" You do know I'd rather fuck then talk. I'm sorry, I have to go. ",0
 Once you run this the you can't da restore da to da your da. ,0
 On the 0x000000/0x00000000/0x00000000/0x0005C0BE and I wont let you down. ,0
 I dey for GEJ house now. I hope the old man no go disturb me or else I swear I’ll come back and kill him. ,0
 The pimp hat is a must. LISTEN TO MESSAGE: Okay. LISTEN TO MESSAGE: They sent me a subpoena. LISTEN TO MESSAGE: I got a subpoena. LISTEN TO MES,0
 I'm not tryna hear your explanation. ,0
 If you run it for free leave show the mo message. ,0
 u right? ,0
 It no dey run after you install. You need to install iTunes to use it. I will forward a link if you need it. ,0
 I was not ready for that. ,0
 If you want to get the full version type it in the search engine and it should pop up. ,0
 Be care full. ,0
 Or if you want a code to unlock da full version. ,0
 I just did it you should see the difference. ,0
 Den send the message back. ,0
 tho your gonna ha to use your capitalization and punctuation ,0
 I do da like dat da dam* ,0
 It take two da to turn it on. ,0
 It use to work before and also have your activation key. ,0
 Don't be angry. ,0
" K, u don't have to say. ",0
" My watch too slow, honey. ",0
 This is the last time I am telling you. ,0
 I heard you are going to Hong Kong to work. ,0
" Yeah, of course I can. ",0
" OK, I'm not giving that to you. ",0
 If u have time come to my house. ,0
" Oh, if you are single and still looking, get a job, I’m telling you, don’t waste your time and money. ",0
 i am fiending for that too. ,0
" It’s only like that, it’s just that you’re too slow.. ",0
 How was the date? ,0
" I want.

Made for the sophisticated man who has high standards.

I just want d best...

Wanna c u now.

I don't want friends.

Message if you interested.

Message me",0
" Want to leave?

Don’t like any of that? How about a romance?

ROMANCE ",0
 I am very angry.. ,0
 Im using my phone to send you a message. ,0
 I no getting any 1. ,0
 Can you come down? ,0
 One more thing GOD KNOWS EVERYTHING ,0
 Where are you? ,0
 Why? What r u up to? ,0
 K. I m alone ,0
 Not that work..you know what i mean Text message: So how was school today ,0
 Will do. So how was work today ,0
 Ok ,0
 I'm still busy tonight. ,0
 I was out on a date with my gf.. ,0
 U want to take a nap together? ,0
" I will let you know when I am going to wake up well, I am not going to wake up well, so.. ",0
 I dont really like going to outside .Its clasic. ,0
 I’ll take care of you ❤️ ,0
 I will open the door foe u ok. ,0
 Don't get too far and leave me alone. ,0
 Why are u asking me this? ,0
 Sis? When the hell did you get a tattoo? ,0
 Work was ok ,0
 Am at home. U know where I stay? ,0
 Im freezing here.. Please come here.. I need to see u.. ,0
" Ok, see you soon

RAW Paste Data

SMS Messages _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ _______________________________________________________________________________ ________________________________________________________________________",0
 Why ?? ,0
 It's going good. I was talking with Tasha and she mentioned you were missing your vickie fix. ,0
 Work was boring. ,0
" It went decent.

I will get to work in a minute. So how was your day ",0
 Good. Late night. U? ,0
 It was good. I did ur hair. Would've stayed but I needed to go the bank. ,0
 ?/\? ,0
 I got fired. Hopefully it doesn't look bad on my resume. I'll be fine though I got a lot of experience. ,0
 Terrible. I HATE my job. I'm just their to collect the check. I hate it. ,0
 It was fine. U called me for something so serious tonight I'm just hoping your alright. ,0
 Busy ,0
 I was actually going to text you after my next class was over. ,0
 It was good. U? ,0
 Sorry. I meant how was ur day ,0
 It was aight. I'll be over in 30 mins. ,0
 What are you doing? ,0
" LIT. I had to tell a teacher to ""chill the F with the youngins"" ",0
 Very busy and sexually frustrating ,0
 Good. U? ,0
 It was okay. I think I just have too much on my plate. ,0
 It was fine ,0
