,text,label
0," Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q",1
1, For a limited time only. Save 2p per minute on your mobile! Text MOBILE to 78953 or visit www zonemobile.co.uk ,1
2, Boost ur Txt/im/email by correctly spelling the 1st 5 letters of any keyword! Email: xxxxx@xxxxxxxxxx ,1
3," Free Games, Downloads etc!! Get your free 55MB of Broadband! Up to 1GB! Text NOW to 30023 for details! This price is for a limited time only! ",1
4, Free Now! Text CPR to 14444 w/ yur reg no to get the latest mobile news & tips. 2c msg each. msg@150p ,1
5, What are you doing in BLACKPOOL? Try www.blackpooldogging.co.uk now! ,1
6, Free PS2 Games!Â£1 credit! ,1
7," URGENT! Your mobile No 07xxxxxxxxx won a Ã¥Â£2,000 bonus caller prize on 01/06/03! this is the 1st attempt to reach YOU! call 09066362231 ASAP!",1
8," Hi, Will you be my partner? Texting PEPPER to 53644. £5 per text for your fifty word story. Terms & conditions apply ",1
9, NEW CHATROOMS! Meet tons of single guys & girls & make new friends on the site of the nxt big thing! Www.myspace.com/girlfriends ,1
10, Offer! New GSM With INFINITE 1st Month Free Top-Up! What's the 5-way? 1 FREE Month on ALL GSM Top-Ups! Text FREE145 to 67766 ,1
11," Don't miss out on the Ã¥Â£2,000 prize draw! ",1
12," 8M/10TXTs/1Mb data, 6M/10TXTs/1Mb data, 2M/10TXTs/5Mb data, 8M/10TXTs/1Mb",1
13, Urgent! Your prepaid SIM card has expired! To re-activate call 09066362231 Text STOP to 09066362231 to opt out! ,1
14, What's your PIN? ,1
15," COULD BE PREGNANT? FREE RAPID TESTS 15 DAYS BEFORE YOUR PERIOD. TEXT FEST TO 57401, FOR MORE INFO... ",1
16," Urgent! Your mobile No 07xxxxxxxxx won a Ã¥Â£2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP! BOX",1
17, Call now! Text: 5MIN to 69888 for betting updates! ,1
18, Free Nokia mobile Phone! Trade in your old one to get a Nokia 3310! Call NOW! ,1
19," Urgent! Your mobile No 012xxxxxxxxxx won a Ã¥Â£2,000 bonus caller prize on 08/05/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!",1
20, Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150,1
21," Hi, i'm Bill Gates. I can give u a grant of 25,000 @ a pop! All u have 2 do is txt BILL to 07572575470! It's Ur lucky day! ",1
22, 99.9% OF JESUS CHRIST FOLLOWERS ARE RIDICULOUS. PICK UP YOUR FREE MESSAGE FROM WWW.JESUSCLOWN.COM ,1
23," Urgent telephone text msg from WATERFALL on 0800 958 (150p/msg)

RAW Paste Data

Well done. You've found the secret message. Now you get to enjoy the secret message. TEXT MES",1
24, Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150,1
25, Text PAZ to 70209 to enter a Free prize draw to win a Sony Ericsson mobile phone. ,1
26, Urgent! ,1
27, & text '4DOG' to 69988 & enter. 100% free. T&Cs apply. ,1
28," Txt the word DOGGING 2 69888 and get the best Dogging locations direct 2 ur mobile! GRAVEL, 150p/MESSAGE ",1
29," Hi, I'm Jenna - I'm a sexy, chatty and horny girl who's into spanking, bondage and fetish. I am waiting to talk to you now! ",1
30," Text DABS to 69675 to join the new chat craze! Text your name, middel school and a description of urself and state your location. BOX97N7QP, 150PPM ",1
31," Hi, u have won 4pounds of coffee from starbucks, u need 2 reply with a valid email address to claim! text COFFEE to 01773040111 ",1
32," If u wnt 2 get premium ringtone for free, text OIL to 69258 ",1
33, Free Bus Fare for anyone who texts Bus to 69666! Bus. 90p.m.s.g.ec2a ,1
34, Txt 2 47421 to give 20p to the tsunami appeal. Texts cost 20p from BT mobiles. Texts from other networks cost you may vary. Awaiting payment. VISIT: www.thesun.co,1
35," We have received your entry for the 2 for 1 offer at the AMAZON UK BOOKSTORE! Text AMAZON to 89277 for your FREE BOOK. 1 Your copy of ""Clouds of Witness"" should arrive in 3-5 working",1
36, NEW POLL! VOTE YES! FREE WILLY! TEXT VOTE TO 69755! ,1
37, Txt: DS to 52899. To Remove your number from the list GRAVEL ,1
38," To get more out of life, give more to life. ",1
39, txt MADONNA to 81227 4your chance 2 win Ã¥Â£500. Af.113.1. CPPEMN ,1
40," Hi there, Youve won a holiday! Text GET STAY to 60001 ",1
41, I bet you're going to love our new mobile offer. ,1
42, Recharge now and get free text messaging for 7 days. Text OFFER to 87777 to get the details. Terms & conditions apply. ,1
43," Dear Voucher Holder, To claim this week's offer, please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062 TEXT MES",1
44," Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062 TEXT",1
45, ,1
46," Dear Beneficiary, Your inheritance is available for transfer. To claim it, visit http://www.e-tlp.co.uk/e-tlp ",1
47, HD110170 NO CHANGE OF ADDRESS SERVED & REMOVAL SALE AT 21 MARSTON LOA DYKE ALL JUNE ,1
48, To sign up for FREE text NEWS to 79360 ,1
49," URGENT! Your mobile No 07xxxxxxxxx won a Ã¥Â£5,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!",1
50," The Ã‚Â£5,000 FREE mobile calls are on now. Text 4587 to 78432 for a FREE trial. Or call 0871 222 6756 ",1
51, Do you need a similar experience in a similar care setting? Call our free advice line 0800 038 1071 ,1
52, This week's offer. To claim this weeks offer text COURTS to 80062 ,1
53," To claim your prize, text your postcode followed by the word CONFIRM to 07904750303. Terms and conditions apply. ",1
54," Urgent! Your mobile No 07xxxxxxxxx won a å’¸Ã†Ã³Ã¥Ã¿Ã¸ÃªÃ¢ 3,000 p! as! 10/04/03! this",1
55," Dear Text 500 customer, You Have Won A Voucher To The Value Of Ã¥Â£10. To Claim This, Please Text Ã¥Â£10 To 75006 Then Receive Your Voucher. Please",1
56, Text TEXT to 85075 to claim your FREE £15 Voucher from www.londondynamic.co.uk ,1
57, Text DAN to 78000 to get a Dan Brown Novel Free. Text STOP to 78000 to stop. Get Free Computer Tips Text BOOK to 79000 for Bookworm trivia! ,1
58," We want to give you a Ã¥Â£2,000 Bonus Caller Prize on 02/06/03. If you are the 400th person to call 09066362231, you will win Ã¥Â£",1
59, ,1
60," To enjoy your music, please text MUSIC to 87066 ",1
61, ENTER TEXTMESSAGE to 6349 ,1
62, Ã¥Â£10 free on an Orange mobile with the new Orange E-Ticket Offer. http://www.e-ticketoffer.com/e-offer/mobile/orange Ts&Cs apply. TEXT MESSAGE,1
63," U can WIN Ã¥Â£100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com SkillGame,1Winaweek, age16.",1
64, Text the word FREESMS and your top 3 music tracks to 42598. Ts&Cs apply ,1
65," To register for your free email newsletters and offers, including up to Ã¥Â£100 of freebies, visit www.unsubscribe.co.uk ",1
66, To play up to 30 lotto games a day for Ã¥Â£1.50 Txt BINGO to 74551 This is a trial service. Text message charges will apply. ,1
67, Free text message to enter competitions and win prizes from www.instantwin.com ,1
68, Are you a sports fan? Check out the latest on your favourite sports. ,1
69, Text the word WIN to 87066 for your chance to win Ã¥Â£50 Voucher or Ã¥Â£5 off in-store. TsCs 18+ OPEN ,1
70, U R cordially invited to the Stock Predictor Ã¥Â‚Ã¥Â£1 000 contest. Bets can be placed by calling 771023 or text the keyword STOCK to 91775. Ts&Cs,1
71, For your chance to win a holiday to Florida text COWBOY to 28981. Normal gprs charges apply. You will be charged £1.50. To opt out txt STOP to 80070 ,1
72," Text the word DRAW to 87066 TsCs www.ldew.com SkillGame,1Winaweek, age16.150ppermessSubscription ",1
73, Sent from my LG DM900 ,1
74, Text LINE1 to 69669 to access the Mobile TV offer. Ts&Cs apply. For more information visit www.btinternet.com ,1
75, Text your name and phone number to 85555 to enter to win BOOST to be in with a chance to win a Ã¥Â£500 shopping spree ,1
76," To get the new SIM only mobile internet deals, come into Carphone Warehouse now ",1
77, Enjoy 100s of polyphonic tunes & txt Msgs to 60010 T&C Apply TsCs www.telesky.co.uk ,1
78," Hi, hope to see you on quidto.co.uk! Ts&Cs apply. 18+ only. Every week we give away Ã¥Â£100 ",1
