text,label
" Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q",1
 For a limited time only. Save 2p per minute on your mobile! Text MOBILE to 78953 or visit www zonemobile.co.uk ,1
 Boost ur Txt/im/email by correctly spelling the 1st 5 letters of any keyword! Email: xxxxx@xxxxxxxxxx ,1
" Free Games, Downloads etc!! Get your free 55MB of Broadband! Up to 1GB! Text NOW to 30023 for details! This price is for a limited time only! ",1
 Free Now! Text CPR to 14444 w/ yur reg no to get the latest mobile news & tips. 2c msg each. msg@150p ,1
 What are you doing in BLACKPOOL? Try www.blackpooldogging.co.uk now! ,1
 Free PS2 Games!Â£1 credit! ,1
" URGENT! Your mobile No 07xxxxxxxxx won a Ã¥Â£2,000 bonus caller prize on 01/06/03! this is the 1st attempt to reach YOU! call 09066362231 ASAP!",1
" Hi, Will you be my partner? Texting PEPPER to 53644. £5 per text for your fifty word story. Terms & conditions apply ",1
 NEW CHATROOMS! Meet tons of single guys & girls & make new friends on the site of the nxt big thing! Www.myspace.com/girlfriends ,1
 Offer! New GSM With INFINITE 1st Month Free Top-Up! What's the 5-way? 1 FREE Month on ALL GSM Top-Ups! Text FREE145 to 67766 ,1
" Don't miss out on the Ã¥Â£2,000 prize draw! ",1
" 8M/10TXTs/1Mb data, 6M/10TXTs/1Mb data, 2M/10TXTs/5Mb data, 8M/10TXTs/1Mb",1
 Urgent! Your prepaid SIM card has expired! To re-activate call 09066362231 Text STOP to 09066362231 to opt out! ,1
 What's your PIN? ,1
" COULD BE PREGNANT? FREE RAPID TESTS 15 DAYS BEFORE YOUR PERIOD. TEXT FEST TO 57401, FOR MORE INFO... ",1
" Urgent! Your mobile No 07xxxxxxxxx won a Ã¥Â£2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP! BOX",1
 Call now! Text: 5MIN to 69888 for betting updates! ,1
 Free Nokia mobile Phone! Trade in your old one to get a Nokia 3310! Call NOW! ,1
" Urgent! Your mobile No 012xxxxxxxxxx won a Ã¥Â£2,000 bonus caller prize on 08/05/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!",1
 Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150,1
" Hi, i'm Bill Gates. I can give u a grant of 25,000 @ a pop! All u have 2 do is txt BILL to 07572575470! It's Ur lucky day! ",1
 99.9% OF JESUS CHRIST FOLLOWERS ARE RIDICULOUS. PICK UP YOUR FREE MESSAGE FROM WWW.JESUSCLOWN.COM ,1
" Urgent telephone text msg from WATERFALL on 0800 958 (150p/msg)

RAW Paste Data

Well done. You've found the secret message. Now you get to enjoy the secret message. TEXT MES",1
 Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150,1
 Text PAZ to 70209 to enter a Free prize draw to win a Sony Ericsson mobile phone. ,1
 Urgent! ,1
 & text '4DOG' to 69988 & enter. 100% free. T&Cs apply. ,1
" Txt the word DOGGING 2 69888 and get the best Dogging locations direct 2 ur mobile! GRAVEL, 150p/MESSAGE ",1
" Hi, I'm Jenna - I'm a sexy, chatty and horny girl who's into spanking, bondage and fetish. I am waiting to talk to you now! ",1
" Text DABS to 69675 to join the new chat craze! Text your name, middel school and a description of urself and state your location. BOX97N7QP, 150PPM ",1
" Hi, u have won 4pounds of coffee from starbucks, u need 2 reply with a valid email address to claim! text COFFEE to 01773040111 ",1
" If u wnt 2 get premium ringtone for free, text OIL to 69258 ",1
 Free Bus Fare for anyone who texts Bus to 69666! Bus. 90p.m.s.g.ec2a ,1
 Txt 2 47421 to give 20p to the tsunami appeal. Texts cost 20p from BT mobiles. Texts from other networks cost you may vary. Awaiting payment. VISIT: www.thesun.co,1
