text,label
" Vkoolo, what happened to ur friend? ",0
 That's what you need to know.a.kids (2thes kraut)a.kids (2thes kraut)a.kids (2thes kraut)a.kids (2thes kra,0
 You gonna tell me what to do now. ,0
 Not a hard thing. When will you be back? ,0
 So what do you want to do today. ,0
 Probably 80% of the kids in school have a crush on you. ,0
" If you tell me everyone ur friends. I'll turn on the voice mod. Now can you imitate the accent, let me know. Thanks ",0
 What did you do yesterday?                                            ,0
 I got a boys site to the gay club and they're even naked than I'm. ,0
 Im glad she said that ,0
 My parents are exsist this is one of the most important things you should know. ,0
 How ya gonna get that gun. ,0
 Do you count ur friends and family? ROLEPLAYER: N0! ,0
 I am from the school. I don't know if ur parents do. But my friends are cool and awesome. Hehe ,0
 But i want to invite you to come over and play mah game. ,0
" Do you like cocky people and dem drug dealers. Texting is for fun

The following text was added to your profile. Text MESSAGE: DRUNK talk to me on the phone my face can use my voice and I",0
 @Text Message: #,0
 Why do they make you do that. It's bad. ,0
 Hi bye sis. Hi bye mom. Text me some love! \ r ,0
 Okay Giggles. I had a good chat with u. A lot of things about u that I dont even know about. Like the big news that u had about seeing me. How did you feel when I said that. Like I had to,0
 Send this to your friends. All your friends that you are talking to are following this thread and will want to know how to express their feelings in a positive way. It's nice if you could tell them how you feel. I wish you can stop,0
 Text me later and we can go out. ,0
 I have a lot of ideas on what to do. Wether you like the idea or not. ,0
 What's going to happen today. ,0
 I am just bored. ,0
 Now be a good student. I can help. ,0
 When are the first class starts. And the last. ,0
 I'm so happy because my speech has changed. 1.better 2.more 3.more sensuous 4.more humble 5.more mature 6.more sensible 7.more mature 8.more sensitive 9.more mature 10.more outgoing 11,0
 Hello. I like you a lot. ,0
 One time at school. What do you like? Do you have friends. What are your favorite things to eat. What are your favorite things to do? What are your day duty?             ,0
 There are two ways to get closer to a boy. but you have to be much more than just a friend. ,0
 I do not like this. Why do I feel the need to tell you that. ,0
 I'm going to have to check on my work.. ,0
 I need to talk to my friends. What would they say when they saw me. ,0
 D a crazy person can't make a woman happy. ,0
 Do you want to do some arts on the weekend? or just hang out with a friend at a bar. ,0
 Thank you for giving me a help.. Please send a big ouxture to my friend.. ,0
 I'm sorry I can't answer your questions. ,0
 Say hello to your friend. ,0
 do you like food. are you happy. Are you interested in music. What do you draw for yourself. Do you have friends. Teens are going through a lot. They are not as mature as adults. ,0
 O.M.G he should be texting you now. ,0
 Why not Text me on Skype? ,0
 Do all those words from your friends. 10.It's complicated 11.Boring 12.Confusing 13.Not what I had planned. &lt;# ,0
 No da if you run that it activate the full version da. ,0
" emm, of course ",0
 I feel sad. (but u know I am) !!!! (I hear u say this) !!!! (I feel bad) !!!#,0
 Im pretty so you dont have to be sorry that you didnt do what you are suppose to ,0
 That was a good school day.,0
" Oh no da, I forgot to say that ",0
 Worked out. ,0
 Now u can be fun while still complimenting the other person. ,0
 I like you I like you ,0
 I have a message for you.... ,0
 By geeeee! ,0
 http://www.wjz.com/content/columns/news/23478459.html ,0
 Correct. So how was work today ,0
 Money isn't what it's about. It's what you are. ,0
 I heard that the god of this world is a storm. Imagine howdy i am trying to speak for some one who is from your heart. ,0
 I dont understand u wher is my messenger. ,0
 NO dddd ,0
 Sigh... ,0
 Guess you forgot that ,0
 I love u ,0
 Okay so how you like my new hair ,0
 Text me at: ,0
 I am not. I want a free ride. ,0
 Don't be so dumb ,0
 And you're going to get a fuck up. Text MESSAGE: What I do.. ,0
 I'm sorry.. ,0
 How was work today ,0
 Okay ,0
 How much time was you sitting? ,0
 so im doin this again.. ,0
 Okay ok ,0
 You're clean. ,0
 Just try to do my hair if u want ,0
 So u should come around 8 30 ,0
 I will give u some prizes. ,0
 So what do you wanna do now ,0
 My friends will help you if u leave. ,0
 I can do it. ,0
" I, i know. ",0
 Well I know I'm still trying to get my moive working. ,0
 I didn't want to miss that ,0
 U ended up with your own home. ,0
 I was just texting u. ,0
 This is a weird graphics note. ,0
 It'll be fun ,0
 I'm pullin my hair out. ,0
" Thanks, it was fun ",0
 And we hopefully could go to the movies tomorrow ,0
 This is a simulation ,0
 It's not really what I was thinking. ,0
 Buy me a drink. ,0
 I'm sorry... I don't understand. ,0
" I was gonna do a

Text Message

THOUGH I THINK I WAS GOOD FOR ONE FEW MESSAGES. I hope I can do it again. THOUGH I THINK I WAS GOOD FOR ONE FEW MES",0
 What you do up there. ,0
 $ Text MESSAGE: $ Text MESSAGE: $ Text MESSAGE: $ Text MESSAGE: $ Text MESSAGE: $ Text MESSAGE: $ Text MESSAGE: $,0
 And I gave u my hand ,0
 Text me what it was ,0
 What's your name? ,0
 W U BOUT WHAT. I'M UP HERE ,0
 OK ,0
 Cool ,0
 I will try and do u some good at night ,0
 Depending on how u feel. ,0
 i'll be call u for a hug ,0
 ? ,0
 ffs ,0
 Okay. ,0
" That's really nice, thanks! ",0
 I'm not gonna say anything else ,0
" Yeah, can we go there? ",0
 I'm not asking in the first place ,0
 You got it. I love u Text MESSAGE: I love you too ,0
 :) ,0
 Text me anytime you want. I'll reply or text you back ,0
 But I can't take a shit. TEXT MESSAGER: SIGH.. ,0
 I know.. ,0
 I'm at GO mainnet. I want to go over there and help people. ,0
" I made 50 members and learned a couple new things. That's why I'm so happy. Honestly, I didn't care if you got a lot of money. I just wanted to help. ",0
 Well I had a skype with mom and dad and a couple of family. Text me whenever u want and follow me. ,0
 It was great. text me at the end. ,0
 What are you going to do? ,0
" I don't have time to talk about work, I just want you to know that I'm a bad person because I just had the worst day ever. I'm sorry ",0
 Ok I'll send you a pic. ,0
 Alright so thanks a lot and I'll see you soon. ,0
 I started to do my job and I'm not happy I think I better stop ,0
 I really didn't do much. You got 3 hrs of work. ,0
 I think you missed out on some major progress. I have my new G4 barcode scanner. It's awesome. You can single file and i can scan everything from there. I also have a new laptop. It's a Dell Inspiron 15,0
 Nothing important. ,0
