text,label
What you did in  leave.,0
"K, if u bored up just come to my home..",0
Correct. So how was work today,0
That sucks. I'll go over so u can do my hair. You'll do it free right?,0
Want to send me a virtual hug?... I need one,0
Ok lor.,0
Hi where you. You in home or calicut?,0
We can make a baby in yo tho,0
Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...,0
I asked sen to come chennai and search for job.,0
"I sent you the prices and do you mean the  &lt;#&gt; g,",0
"alright, I'll make sure the car is back tonight",0
"\Happy valentines day\"" I know its early but i have hundreds of handsomes and beauties to wish. So i thought to finish off aunties and uncles 1st...""",0
I will treasure every moment we spend together...,0
That's y i said it's bad dat all e gals know u... Wat u doing now?,0
I'm gonna rip out my uterus.,0
If you're not in my car in an hour and a half I'm going apeshit,0
"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas",0
Boo. How's things? I'm back at home and a little bored already :-(,0
Lol I would but despite these cramps I like being a girl.,0
I had askd u a question some hours before. Its answer,0
Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,0
Hope you are having a good week. Just checking in,0
So u workin overtime nigpun?,0
"\Hi its Kate it was lovely to see you tonight and ill phone you tomorrow. I got to sing and a guy gave me his card! xxx\""""",0
Oooh I got plenty of those!,0
What happen to her tell the truth,0
"Awesome, text me when you're restocked",0
Did he just say somebody is named tampa,0
Jus finish bathing...,0
"Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem",0
What you need. You have a person to give na.,0
Yo im right by yo work,0
Well boy am I glad G wasted all night at applebees for nothing,0
"Idk. You keep saying that you're not, but since he moved, we keep butting heads over freedom vs. responsibility. And i'm tired. I have so much other shit to deal with that i'm barely keeping myself to",0
You bad girl. I can still remember them,0
Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/,0
Then just eat a shit and wait for ur monkey face bitch.......... U asshole..................,0
Wat's da model num of ur phone?,0
"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",0
:( but your not here....,0
Reverse is cheating. That is not mathematics.,0
"That's what I love to hear :V see you sundayish, then",0
What * u wearing?,0
CERI U REBEL! SWEET DREAMZ ME LITTLE BUDDY!! C YA 2MORO! WHO NEEDS BLOKES,0
I'm done. C Ã_ there.,0
I wont do anything de.,0
Is xy going 4 e lunch?,0
That was random saw my old roomate on campus. He graduated,0
"I want to show you the world, princess :) how about europe?",0
Babe ! What are you doing ? Where are you ? Who are you talking to ? Do you think of me ? Are you being a good boy? Are you missing me? Do you love me ?,0
Ok... Ur typical reply...,0
Lol you won't feel bad when I use her money to take you out to a steak dinner =D,0
Yeah I don't see why not,0
\ER,0
There is a first time for everything :),0
