text,label
"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k",1
Thanks. Fills me with complete calm and reassurance! ,0
"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",1
"Its good, we'll find a way",0
S.this will increase the chance of winning.,0
Sian... Aft meeting supervisor got work 2 do liao... U working now?,0
So that takes away some money worries,0
Ard 6 like dat lor.,0
Host-based IDPS for linux systems.,0
"Today's Offer! Claim ur Ã¥Â£150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. Ã¥Â£3.00 Sub. 16 . Unsub reply X",1
Ok lor.,0
"I'm in a meeting, call me later at",0
"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?",0
Would me smoking you out help us work through this difficult time,0
"Good afternoon on this glorious anniversary day, my sweet J !! I hope this finds you happy and content, my Prey. I think of you and send a teasing kiss from across the sea coaxing images of fond souve",0
Good. do you think you could send me some pix? I would love to see your top and bottom...,0
I to am looking forward to all the sex cuddling.. Only two more sleeps ,0
Pls send me the correct name da.,0
Come to mahal bus stop.. &lt;DECIMAL&gt;,0
Just getting back home,0
Do you think i can move  &lt;#&gt;  in a week,0
All sounds good. Fingers . Makes it difficult to type,0
U R THE MOST BEAUTIFUL GIRL IVE EVER SEEN. U R MY BABY COME AND C ME IN THE COMMON ROOM,0
Haiyoh... Maybe your hamster was jealous of million,0
I need you to be in my strong arms...,0
A Ã¥Â£400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a Ã¥Â£400 reward. Just call 09066380611,1
Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!,1
"fyi I'm at usf now, swing by the room whenever",0
"Send ur birthdate with month and year, I will tel u ur LIFE PARTNER'S name. and the method of calculation. Reply must.",0
Hi:)cts employee how are you?,0
Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,1
I think that tantrum's finished so yeah I'll be by at some point,0
Great escape. I fancy the bridge but needs her lager. See you tomo ,0
"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate",1
We're done...,0
"Urgent! call 09066612661 from landline. Your complementary 4* Tenerife Holiday or Ã¥Â£10,000 cash await collection SAE T&Cs PO Box 3 WA14 2PX 150ppm 18+ Sender: Hol Offer",1
Would you like to see my XXX pics they are so hot they were nearly banned in the uk!,1
Have a good evening! Ttyl,0
"Dear Voucher Holder, To claim this weeks offer, at your PC please go to http://www.wtlp.co.uk/text. Ts&Cs apply.",1
So that means you still think of teju,0
"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear""",0
You know there is. I shall speak to you in  &lt;#&gt;  minutes then,0
Not yet chikku..wat abt u?,0
"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U",0
